color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
Color,Martin Scorsese,240,116866727.0,"Biography, Comedy, Crime, Drama",The Wolf of Wall Street,2013,English,USA,100000000.0,8.2,"Leonardo DiCaprio, Matthew McConaughey, Jon Favreau",138000
Color,Shane Black,195,408992272.0,"Action, Adventure, Sci-Fi",Iron Man 3,2013,English,USA,200000000.0,7.2,"Robert Downey Jr., Jon Favreau, Don Cheadle",95000
Color,Quentin Tarantino,187,54116191.0,"Crime, Drama, Mystery, Thriller, Western",The Hateful Eight,2015,English,USA,44000000.0,7.9,"Craig Stark, Jennifer Jason Leigh, Zoë Bell",114000
Color,Kenneth Lonergan,186,46495.0,Drama,Margaret,2011,English,usa,14000000.0,6.5,"Matt Damon, Kieran Culkin, John Gallagher Jr.",0
Color,Peter Jackson,186,258355354.0,"Adventure, Fantasy",The Hobbit: The Desolation of Smaug,2013,English,USA,225000000.0,7.9,"Aidan Turner, Adam Brown, James Nesbitt",83000
Color,Joss Whedon,173,623279547.0,"Action, Adventure, Sci-Fi",The Avengers,2012,English,USA,220000000.0,8.1,"Chris Hemsworth, Robert Downey Jr., Scarlett Johansson",123000
Color,Joss Whedon,173,623279547.0,"Action, Adventure, Sci-Fi",The Avengers,2012,English,USA,220000000.0,8.1,"Chris Hemsworth, Robert Downey Jr., Scarlett Johansson",123000
Color,Null,158,102515793.0,"Crime, Drama, Mystery, Thriller",The Girl with the Dragon Tattoo,2011,English,USA,90000000.0,7.8,"Robin Wright, Goran Visnjic, Joely Richardson",54000
Color,Christopher Nolan,169,187991439.0,"Adventure, Drama, Sci-Fi",Interstellar,2014,English,USA,165000000.0,8.6,"Matthew McConaughey, Anne Hathaway, Mackenzie Foy",349000
Color,F. Gary Gray,167,161029270.0,"Biography, Crime, Drama, History, Music",Straight Outta Compton,2015,English,USA,28000000.0,7.9,"Aldis Hodge, Neil Brown Jr., R. Marcos Taylor",76000
Color,Quentin Tarantino,580,162804648.0,"Drama, Western",Django Unchained,2012,English,USA,100000000.0,8.5,"Leonardo DiCaprio, Christoph Waltz, Ato Essandoh",199000
Color,Michael Bay,165,245428137.0,"Action, Adventure, Sci-Fi",Transformers: Age of Extinction,2014,English,USA,210000000.0,5.7,"Bingbing Li, Sophia Myles, Kelsey Grammer",56000
Color,Peter Jackson,164,255108370.0,"Adventure, Fantasy",The Hobbit: The Battle of the Five Armies,2014,English,New Zealand,250000000.0,7.5,"Aidan Turner, Adam Brown, James Nesbitt",65000
Color,Tom Hooper,158,148775460.0,"Drama, Musical, Romance",Les Misérables,2012,English,USA,61000000.0,7.6,"Hugh Jackman, Eddie Redmayne, Anne Hathaway",144000
Color,Tom Hooper,158,148775460.0,"Drama, Musical, Romance",Les Misérables,2012,English,USA,61000000.0,7.6,"Hugh Jackman, Eddie Redmayne, Anne Hathaway",144000
Color,Kathryn Bigelow,157,95720716.0,"Drama, History, Thriller",Zero Dark Thirty,2012,English,USA,40000000.0,7.4,"Jennifer Ehle, Harold Perrineau, Parker Sawyers",39000
Color,Ridley Scott,156,105219735.0,"Action, Adventure, Drama, History",Robin Hood,2010,English,USA,200000000.0,6.7,"Mark Addy, William Hurt, Scott Grimes",17000
Color,Michael Bay,154,352358779.0,"Action, Adventure, Sci-Fi",Transformers: Dark of the Moon,2011,English,USA,195000000.0,6.3,"Glenn Morshower, Lester Speight, Kevin Dunn",46000
Color,Denis Villeneuve,153,60962878.0,"Crime, Drama, Mystery, Thriller",Prisoners,2013,English,USA,46000000.0,8.1,"Hugh Jackman, Jake Gyllenhaal, Dylan Minnette",86000
Color,Marc Webb,153,262030663.0,"Action, Adventure, Fantasy",The Amazing Spider-Man,2012,English,USA,230000000.0,7.0,"Emma Stone, Andrew Garfield, Chris Zylka",56000
Color,Nan,151,228430993.0,"Adventure, Drama, Sci-Fi",The Martian,2015,English,USA,108000000.0,8.1,"Matt Damon, Donald Glover, Benedict Wong",153000
Color,Ridley Scott,150,65007045.0,"Action, Adventure, Drama",Exodus: Gods and Kings,2014,English,UK,140000000.0,6.1,"Christian Bale, María Valverde, Ben Mendelsohn",51000
Color,Ridley Scott,150,65007045.0,"Action, Adventure, Drama",Exodus: Gods and Kings,2014,English,UK,140000000.0,6.1,"Christian Bale, María Valverde, Ben Mendelsohn",51000
Color,Gore Verbinski,650,89289910.0,"Action, Adventure, Western",The Lone Ranger,2013,English,USA,215000000.0,6.5,"Johnny Depp, Ruth Wilson, Tom Wilkinson",48000
Color,David Fincher,149,167735396.0,"Crime, Drama, Mystery, Thriller",Gone Girl,2014,English,USA,61000000.0,8.1,"Patrick Fugit, Sela Ward, Emily Ratajkowski",146000
Color,Bryan Singer,149,233914986.0,"Action, Adventure, Fantasy, Sci-Fi, Thriller",X-Men: Days of Future Past,2014,English,United States,200000000.0,8.0,"Jennifer Lawrence, Peter Dinklage, Hugh Jackman",82000
Color,Christopher Nolan,148,292568851.0,"Action, Adventure, Sci-Fi, Thriller",Inception,2010,English,USA,160000000.0,8.8,"Leonardo DiCaprio, Tom Hardy, Joseph Gordon-Levitt",175000
Color,Paul Thomas Anderson,148,8093318.0,"Comedy, Crime, Drama, Mystery, Romance",Inherent Vice,2014,English,USA,20000000.0,6.7,"Martin Dew, Katherine Waterston, Serena Scott Thomas",18000
Color,Sam Mendes,148,200074175.0,"Action, Adventure, Thriller",Spectre,2015,English,UK,245000000.0,6.8,"Christoph Waltz, Rory Kinnear, Stephanie Sigman",85000
Color,Michael Patrick King,146,95328937.0,"Comedy, Drama, Romance",Sex and the City 2,2010,English,USA,100000000.0,4.3,"Chris Noth, Liza Minnelli, Kristin Davis",0
Color,Tate Taylor,146,169705587.0,Drama,The Help,2011,English,USA,25000000.0,8.1,"Emma Stone, Bryce Dallas Howard, Mike Vogel",75000
Color,Francis Lawrence,146,424645577.0,"Adventure, Sci-Fi, Thriller",The Hunger Games: Catching Fire,2013,English,USA,130000000.0,7.6,"Jennifer Lawrence, Josh Hutcherson, Sandra Ellis Lafferty",82000
Black and white,Steven Spielberg,146,79883359.0,"Drama, War",War Horse,2011,English,usa,66000000.0,7.2,"Jeremy Irvine, Benedict Cumberbatch, Eddie Marsan",28000
Color,Michael Bay,144,52822418.0,"Action, Drama, Thriller, War",13 Hours,2016,English,USA,50000000.0,7.4,"Toby Stephens, James Badge Dale, David Costabile",44000
Color,Guillaume Canet,144,41229.0,"Crime, Drama, Thriller",Blood Ties,2013,English,France,25500000.0,6.5,"Mila Kunis, Lili Taylor, Billy Crudup",0
Color,Paul Thomas Anderson,144,16377274.0,Drama,The Master,2012,English,USA,32000000.0,7.1,"Mike Howard, Jeffrey W. Jenkins, Bruce Goodchild",27000
Color,Bryan Singer,144,154985087.0,"Action, Adventure, Sci-Fi",X-Men: Apocalypse,2016,English,USA,178000000.0,7.3,"Jennifer Lawrence, Michael Fassbender, Tye Sheridan",54000
Color,Adam McKay,143,2175312.0,Comedy,Anchorman 2: The Legend Continues,2013,English,USA,50000000.0,6.3,"Harrison Ford, Will Ferrell, Steve Carell",41000
Color,Zack Snyder,143,291021565.0,"Action, Adventure, Fantasy, Sci-Fi",Man of Steel,2013,English,USA,225000000.0,7.2,"Henry Cavill, Christopher Meloni, Harry Lennix",118000
Color,Sam Mendes,143,304360277.0,"Action, Adventure, Thriller",Skyfall,2012,English,UK,200000000.0,7.8,"Albert Finney, Helen McCrory, Rory Kinnear",80000
Color,Sam Mendes,143,304360277.0,"Action, Adventure, Thriller",Skyfall,2012,English,UK,200000000.0,7.8,"Albert Finney, Helen McCrory, Rory Kinnear",80000
Color,Baz Luhrmann,143,144812796.0,"Drama, Romance",The Great Gatsby,2013,English,Australia,105000000.0,7.3,"Leonardo DiCaprio, Elizabeth Debicki, Steve Bisley",115000
Color,Baz Luhrmann,143,144812796.0,"Drama, Romance",The Great Gatsby,2013,English,Australia,105000000.0,7.3,"Leonardo DiCaprio, Elizabeth Debicki, Steve Bisley",115000
Color,Steven Spielberg,142,72306065.0,"Drama, History, Thriller",Bridge of Spies,2015,English,USA,40000000.0,7.6,"Tom Hanks, Mark Rylance, Amy Ryan",55000
Color,Marc Webb,142,202853933.0,"Action, Adventure, Fantasy, Sci-Fi",The Amazing Spider-Man 2,2014,English,USA,200000000.0,6.7,"Emma Stone, Andrew Garfield, B.J. Novak",41000
Color,Joss Whedon,141,458991599.0,"Action, Adventure, Sci-Fi",Avengers: Age of Ultron,2015,English,USA,250000000.0,7.5,"Chris Hemsworth, Robert Downey Jr., Scarlett Johansson",118000
Color,Justin Chadwick,141,8324748.0,"Biography, Drama, History",Mandela: Long Walk to Freedom,2013,English,UK,35000000.0,7.1,"Terry Pheto, Fana Mokoena, Tony Kgoroge",13000
Color,David Dobkin,141,47105085.0,"Crime, Drama",The Judge,2014,English,USA,50000000.0,7.4,"Robert Downey Jr., Robert Duvall, Leighton Meester",47000
Color,Ryan Murphy,140,80574010.0,"Drama, Romance",Eat Pray Love,2010,English,USA,60000000.0,5.7,"James Franco, Julia Roberts, Billy Crudup",26000
Color,James Wan,140,350034110.0,"Action, Crime, Thriller",Furious 7,2015,English,USA,190000000.0,7.2,"Jason Statham, Paul Walker, Vin Diesel",94000
Color,Derek Cianfrance,140,21383298.0,"Crime, Drama, Thriller",The Place Beyond the Pines,2012,English,USA,15000000.0,7.3,"Ryan Gosling, Ben Mendelsohn, Angelo Anthony Pizza",47000
Color,Gavin O'Connor,140,13651662.0,"Drama, Sport",Warrior,2011,English,USA,25000000.0,8.2,"Tom Hardy, Frank Grillo, Kevin Dunn",77000
Color,Gary Ross,139,20389967.0,"Action, Biography, Drama, History, War",Free State of Jones,2016,English,USA,50000000.0,6.7,"Matthew McConaughey, Donald Watkins, Jessica Collins",10000
Color,Tate Taylor,139,30513940.0,"Biography, Drama, Music",Get on Up,2014,English,USA,30000000.0,6.9,"Tika Sumpter, Josh Hopkins, Aunjanue Ellis",11000
Color,Darren Aronofsky,138,101160529.0,"Action, Adventure, Drama",Noah,2014,English,USA,125000000.0,5.8,"Anthony Hopkins, Emma Watson, Logan Lerman",71000
Color,Martin Scorsese,138,127968405.0,"Mystery, Thriller",Shutter Island,2010,English,USA,80000000.0,8.1,"Leonardo DiCaprio, Joseph Sikora, Nellie Sciutto",53000
Color,Ridley Scott,138,16969390.0,"Crime, Drama, Thriller",The Counselor,2013,English,USA,25000000.0,5.3,"Michael Fassbender, Brad Pitt, Goran Visnjic",24000
Color,Daniel Espinosa,137,1206135.0,"Crime, Drama, Thriller",Child 44,205,English,Czech Republic,50000000.0,6.4,"Tom Hardy, Fares Fares, Michael Nardone",18000
Color,Angelina Jolie Pitt,137,115603980.0,"Biography, Drama, Sport, War",Unbroken,2014,English,USA,65000000.0,7.2,"Finn Wittrock, Jack O'Connell, Alex Russell",35000
Color,Anthony Russo,136,259746958.0,"Action, Adventure, Sci-Fi",Captain America: The Winter Soldier,2014,English,usa,170000000.0,7.8,"Scarlett Johansson, Chris Evans, Hayley Atwell",55000
Color,Rob Marshall,136,241063875.0,"Action, Adventure, Fantasy",Pirates of the Caribbean: On Stranger Tides,2011,English,USA,250000000.0,6.7,"Johnny Depp, Sam Claflin, Stephen Graham",58000
Color,Adam Shankman,136,38509342.0,"Comedy, Drama, Musical, Romance",Rock of Ages,2012,English,USA,75000000.0,5.9,"James Martin Kelly, Shane Hartline, Celina Beach",33000
Color,Tony Gilroy,135,113165635.0,"Action, Adventure, Thriller",The Bourne Legacy,2012,English,USA,125000000.0,6.7,"Jeremy Renner, Scott Glenn, Stacy Keach",31000
Color,Steve McQueen,134,56667870.0,"Biography, Drama, History",12 Years a Slave,2013,English,USA,20000000.0,8.1,"Quvenzhané Wallis, Scoot McNairy, Taran Killam",83000
Color,Paul Greengrass,134,107100855.0,"Biography, Drama, Thriller",Captain Phillips,2013,English,USA,55000000.0,7.9,"Tom Hanks, Chris Mulkey, Michael Chernus",65000
Color,David Ayer,134,85707116.0,"Action, Drama, War",Fury,2014,English,USA,68000000.0,7.6,"Brad Pitt, Logan Lerman, Jim Parrack",82000
Color,Clint Eastwood,5,47034272.0,"Biography, Drama, Music, Musical",Jersey Boys,2014,English,USA,40000000.0,6.9,"Johnny Cannizzaro, Steve Schirripa, Scott Vance",16000
